WKT,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2680621.51203146 6440903.64179675)",166200,Buckland,Buckland,8.62348027,8.62348027,1770265.30015,5879232.1941,-37.2178787413051,174.91900026798,2680621.51203146,6440903.64179675
"POINT (2688117.45169679 6445451.85007333)",166300,Bombay Hills,Bombay Hills,31.67112651,31.67112651,1777753.1151,5883794.48255,-37.1753817709599,175.002260587373,2688117.45169679,6445451.85007333
"POINT (2695313.19278666 6448467.41604228)",166400,Ararimu,Ararimu,90.92527809,90.92527809,1784943.7011,5886823.8072,-37.1466969117488,175.082460454988,2695313.19278666,6448467.41604228
"POINT (2732135.38841693 6497168.80634803)",166500,Colville,Colville,543.29448773,543.29448773,1821671.99765,5935607.4656,-36.6993654073127,175.481406982722,2732135.38841693,6497168.80634803
"POINT (2757632.27902677 6497938.86095484)",166600,Islands Thames-Coromandel District,Islands Thames-Coromandel District,35.44546685,35.44546685,1847173.87135,5936434.1924,-36.685631784162,175.766323165423,2757632.27902677,6497938.86095484
"POINT (2733236.2428798 6490876.1620953)",166700,Coromandel,Coromandel,10.88722228,10.88722228,1822786.752,5929315.9349,-36.7557679992936,175.495709010636,2733236.2428798,6490876.1620953
"POINT (2742450.36419246 6481026.86672712)",166800,Inlets Thames-Coromandel District,Inlets Thames-Coromandel District,0,91.62656172,1832024.27785,5919484.00755,-36.8420939329447,175.602090574853,2742450.36419246,6481026.86672712
"POINT (2746608.84527381 6485722.74541396)",166900,Mercury Bay North,Mercury Bay North,305.27302436,305.27302436,1836173.8901,5924190.1275,-36.7986876894217,175.647121674253,2746608.84527381,6485722.74541396
"POINT (2750346.74817676 6484152.00478339)",167000,Whitianga North,Whitianga North,12.51339049,12.51339049,1839916.32465,5922626.97345,-36.8118228302469,175.68951918764,2750346.74817676,6484152.00478339
"POINT (2750634.07440267 6481722.84425767)",167100,Whitianga South,Whitianga South,4.82687235,4.87522486,1840208.97155,5920197.66335,-36.8336238557851,175.693563660244,2750634.07440267,6481722.84425767
"POINT (2736733.79253889 6463135.09212491)",167200,Thames Coast,Thames Coast,116.1010793,116.1010793,1826343.30235,5901575.3252,-37.0047504588951,175.543793176906,2736733.79253889,6463135.09212491
"POINT (2754438.24600063 6481348.97861778)",167300,Cooks Beach-Ferry Landing,Cooks Beach-Ferry Landing,2.69462756,2.69462756,1844015.2089,5919831.84105,-36.8359435563595,175.736318153583,2754438.24600063,6481348.97861778
"POINT (2752165.83039244 6469175.25068423)",167400,Mercury Bay South,Mercury Bay South,359.40523447,359.40523447,1841767.80475,5907649.0999,-36.9462197875018,175.7150272437,2752165.83039244,6469175.25068423
"POINT (2743641.07790014 6451534.71624502)",167500,Kauaeranga,Kauaeranga,180.53040369,180.53040369,1833275.9896,5889985.19515,-37.1074231768604,175.625229482554,2743641.07790014,6451534.71624502
"POINT (2735942.83927886 6449575.23968042)",167600,Thames North,Thames North,2.63450278,2.63450278,1825579.1498,5888009.9707,-37.1270965259772,175.539284348244,2735942.83927886,6449575.23968042
"POINT (2736110.93887258 6448057.86156464)",167700,Thames Central,Thames Central,1.30969654,1.30969654,1825750.26485,5886492.46625,-37.1407208988677,175.541666161933,2736110.93887258,6448057.86156464
"POINT (2737630.97505112 6447075.63083834)",167800,Thames South,Thames South,3.28183393,3.28183393,1827272.68655,5885512.8922,-37.1491734746216,175.559088572915,2737630.97505112,6447075.63083834
"POINT (2737665.52708012 6444986.5800454)",168000,Totora-Kopu,Totora-Kopu,8.32601815,8.32601815,1827311.3056,5883423.25575,-37.1679816158502,175.560157923424,2737665.52708012,6444986.5800454
"POINT (2763963.33044152 6462797.42614857)",168100,Tairua,Tairua,4.17248365,4.17248365,1853583.1249,5901293.2524,-37.000337066293,175.849700811058,2763963.33044152,6462797.42614857
"POINT (2763557.14575228 6458327.95275309)",168200,Pauanui,Pauanui,9.90436065,9.90436065,1853185.97305,5896821.0228,-37.0407086996946,175.846745779415,2763557.14575228,6458327.95275309
"POINT (2746375.59360804 6437037.85231186)",168300,Matatoki-Puriri,Matatoki-Puriri,161.07411624,161.07411624,1836039.6125,5875488.46915,-37.2372655910812,175.660876893861,2746375.59360804,6437037.85231186
"POINT (2761602.40748387 6443451.05570491)",168400,Whangamatā Rural,Whangamata Rural,153.67109362,153.67109362,1851260.21735,5881933.6524,-37.175260943795,175.830104159139,2761602.40748387,6443451.05570491
"POINT (2764634.31046923 6439411.0524911)",168500,Whangamatā,Whangamata,8.46275914,8.46275914,1854301.3727,5877897.69705,-37.2107731875047,175.865693842512,2764634.31046923,6439411.0524911
"POINT (2712606.11675322 6451716.85819035)",168600,Miranda-Pūkorokoro,Miranda-Pukorokoro,81.33702196,81.33702196,1802232.6809,5890106.73585,-37.1135480083547,175.276113533777,2712606.11675322,6451716.85819035
"POINT (2722843.98702483 6434748.90463912)",168700,Hauraki Plains North,Hauraki Plains North,178.82960282,178.82960282,1812504.9061,5873154.6098,-37.2639479614986,175.396459351257,2722843.98702483,6434748.90463912
"POINT (2735967.31720384 6437241.64724063)",168800,Hauraki Plains East,Hauraki Plains East,90.65144962,90.65144962,1825627.3549,5875672.62995,-37.2381858590204,175.543551639769,2735967.31720384,6437241.64724063
"POINT (2731225.85746832 6432844.52699175)",168900,Ngatea,Ngatea,3.35336086,3.35336086,1820892.65135,5871265.2759,-37.2790104126614,175.49153047058,2731225.85746832,6432844.52699175
"POINT (2730186.99173489 6424406.54638019)",169000,Hauraki Plains South,Hauraki Plains South,251.38612705,251.38612705,1819868.94325,5862822.84865,-37.355280867371,175.482494259887,2730186.99173489,6424406.54638019
"POINT (2746369.20736532 6422602.42403974)",169100,Paeroa Rural,Paeroa Rural,272.57088335,272.57088335,1836060.0884,5861047.4813,-37.3672900265878,175.665696284083,2746369.20736532,6422602.42403974
"POINT (2747071.77219152 6421686.14556629)",169200,Paeroa,Paeroa,6.86958907,6.86958907,1836764.59665,5860132.1184,-37.3753524578509,175.673936731011,2747071.77219152,6421686.14556629
"POINT (2760989.50143359 6419789.34082249)",169300,Waihi Rural,Waihi Rural,375.71402694,375.71402694,1850691.83815,5858259.8507,-37.3885487446307,175.83168970075,2760989.50143359,6419789.34082249
"POINT (2761128.6238155 6419852.88256039)",169400,Waihi North,Waihi North,2.63787332,2.63787332,1850830.91015,5858323.67675,-37.3879365171257,175.833237192186,2761128.6238155,6419852.88256039
"POINT (2762996.96323955 6420635.25015651)",169500,Waihi East,Waihi East,4.07787934,4.07787934,1852698.70895,5859109.8396,-37.380351791718,175.854042411272,2762996.96323955,6420635.25015651
